(11,17; 34,03; 4,00)
(32,02; 37,28; 5,15)
(21,33; 30,93; 2,54)
(21,63; 13,70; 7,05)
(12,87; 34,44; 8,86)
(1,26; 7,26; 3,08)
(20,51; 34,77; 2,50)
(301,73; 150,93; 1,50)
(251,81; 245,78; 2,92)
(119,70; 150,05; 4,64)
(313,50; 156,72; 3,87)
(67,56; 323,09; 3,32)
(91,21; 57,07; 3,78)
(202,32; 48,22; 2,76)
(313,51; 39,23; 4,96)
(194,00; 102,30; 1,91)
(60,09; 201,69; 3,19)
(128,35; 210,29; 2,29)
(160,60; 112,45; 2,04)
(150,49; 123,37; 4,16)
(279,15; 104,89; 4,84)
(236,36; 282,80; 4,38)
(238,03; 187,68; 4,22)
(301,80; 47,59; 2,32)
(324,86; 130,88; 1,51)
(104,60; 280,88; 3,41)
(298,98; 187,34; 4,37)
(133,55; 77,22; 2,77)
(326,37; 217,15; 3,82)
(268,60; 145,99; 1,10)
(319,29; 167,11; 2,67)
(8,39; 69,37; 2,54)
(117,48; 83,94; 2,29)
(91,64; 31,31; 3,00)
(35,00; 23,93; 4,27)
(94,18; 253,13; 3,75)
(37,85; 66,30; 4,54)
(256,74; 157,70; 4,07)
(185,57; 313,08; 3,62)
(99,13; 180,80; 4,06)
(260,36; 142,07; 2,00)
(162,29; 229,98; 2,11)
(127,53; 191,01; 4,17)
(8,56; 245,08; 1,68)
(272,66; 135,54; 2,02)
(0,58; 205,54; 3,06)
(82,50; 133,23; 2,04)
(215,60; 99,08; 3,45)
(304,95; 308,26; 3,46)
(95,18; 111,26; 1,24)
(-15,15; 5,91; 5,96)
(-15,80; 4,10; 5,32)
(-10,75; 35,05; 3,73)
(-10,53; 6,35; 2,85)
(-21,57; 0,17; 5,08)
(-37,09; 3,87; 2,61)
(-17,97; 2,56; 4,77)
(-761,17; 26,36; 1,35)
(-714,21; 8,57; 4,51)
(-958,07; 55,46; 2,24)
(-740,31; 206,10; 3,54)
(-698,73; 170,30; 4,27)
(-697,56; 287,38; 1,85)
(-824,95; 260,05; 1,05)
(-681,33; 55,89; 1,75)
(-713,70; 203,02; 4,63)
(-788,54; 76,37; 3,20)
(-733,80; 282,21; 2,42)
(-984,39; 295,81; 3,15)
(-826,17; 99,47; 3,98)
(-945,29; 77,96; 4,25)
(-921,92; 268,54; 4,41)
(-838,67; 157,27; 1,34)
(-778,29; 201,47; 4,65)
(-788,85; 6,29; 4,55)
(-931,24; 278,92; 3,79)
(-925,32; 155,19; 4,17)
(-674,46; 312,02; 4,17)
(-954,54; 306,72; 4,00)
(-926,63; 104,43; 1,88)
(-878,60; 1,16; 4,15)
(-840,14; 49,85; 2,04)
(-966,28; 325,24; 1,15)
(-886,15; 237,85; 4,60)
(-791,20; 129,26; 1,18)
(-950,31; 290,01; 2,26)
(-771,01; 249,34; 1,35)
(-909,45; 300,16; 1,59)
(-711,89; 148,05; 1,60)
(-936,60; 109,76; 2,07)
(-782,54; 215,71; 3,38)
(-811,22; 237,69; 3,77)
(-767,16; 147,55; 4,99)
(-774,96; 206,76; 4,00)
(-690,91; 301,68; 1,81)
(-935,14; 265,34; 2,31)
(-770,22; 140,68; 2,90)
(-679,83; 327,50; 1,12)
(-733,80; 38,62; 3,45)
(-717,01; 283,26; 3,33)
(-5,10; -20,91; 5,43)
(-6,95; -4,34; 8,73)
(-4,91; -13,65; 8,24)
(-20,54; -38,14; 7,84)
(-4,55; -38,47; 8,16)
(-2,70; -13,48; 6,12)
(-13,17; -27,16; 1,64)
(-766,53; -941,44; 1,93)
(-702,39; -746,04; 2,86)
(-712,36; -995,22; 3,08)
(-951,49; -716,43; 4,92)
(-933,75; -877,79; 4,25)
(-965,40; -756,07; 2,19)
(-690,36; -690,40; 3,36)
(-833,66; -876,62; 2,14)
(-769,63; -968,98; 4,09)
(-675,28; -681,16; 2,83)
(-874,58; -876,03; 4,62)
(-813,99; -708,48; 1,18)
(-819,80; -809,03; 2,50)
(-803,18; -910,40; 2,25)
(-806,92; -756,26; 3,44)
(-707,58; -868,03; 2,55)
(-783,32; -696,10; 1,77)
(-849,50; -754,00; 4,51)
(-922,62; -938,53; 3,11)
(-932,11; -712,88; 2,89)
(-792,58; -946,75; 4,60)
(-946,30; -696,54; 1,77)
